Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Rose Dental ,TX,Healthcare Provider,2835,6/26/2020,Hacking/IT Incident,Email,No
"The StayWell Company, LLC",PA,Business Associate,971,6/26/2020,Hacking/IT Incident,Network Server,Yes
"Sage Behavior Services, Inc",CA,Healthcare Provider,763,6/25/2020,Hacking/IT Incident,Network Server,Yes
Morneau Shepell Limited,IL,Healthcare Provider,1162,6/25/2020,Hacking/IT Incident,Email,No
"Eye Physicians of Pinellas, PA dba The Eye Institute of West Florida",FL,Healthcare Provider,1650,6/24/2020,Unauthorized Access/Disclosure,Email,No
"Grace & Porta Benefits, inc.",MI,Health Plan,572,6/23/2020,Hacking/IT Incident,Email,No
"Iowa Total Care, Inc.",IA,Health Plan,11581,6/23/2020,Unauthorized Access/Disclosure,Email,No
"Friendship Community Care, Inc.",AR,Healthcare Provider,10845,6/22/2020,Unauthorized Access/Disclosure,Email,No
CHI St. Luke's Health Memorial,TX,Healthcare Provider,1045,6/19/2020,Hacking/IT Incident,Email,No
Ledger Dentistry,FL,Healthcare Provider,538,6/19/2020,Unauthorized Access/Disclosure,Email,No
Human Affairs International of California,CA,Business Associate,15843,6/19/2020,Hacking/IT Incident,"Email, Network Server",Yes
"CodeMetro, Inc.",CA,Business Associate,62807,6/19/2020,Hacking/IT Incident,Network Server,Yes
American Medical Technologies ,CA,Healthcare Provider,47767,6/18/2020,Hacking/IT Incident,"Electronic Medical Record, Email",No
North Shore Pain Management,MA,Healthcare Provider,12472,6/18/2020,Hacking/IT Incident,Network Server,No
"ABA Pathways, LLC",MI,Healthcare Provider,775,6/18/2020,Hacking/IT Incident,Network Server,Yes
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,10974,6/18/2020,Hacking/IT Incident,Network Server,No
"Oral and Maxillofacial Surgery Associates, P.A.",SC,Healthcare Provider,35498,6/17/2020,Hacking/IT Incident,"Desktop Computer, Network Server, Other Portable Electronic Device",No
Frank D. Lanterman Regional Center,CA,Healthcare Provider,3489,6/16/2020,Hacking/IT Incident,Network Server,Yes
Providence Health Plan,OR,Health Plan,49511,6/16/2020,Unauthorized Access/Disclosure,Network Server,Yes
Senior Whole Health of New York,NY,Health Plan,3853,6/16/2020,Hacking/IT Incident,"Email, Network Server",No
"Choice Health Management Services, LLC",NC,Business Associate,8692,6/15/2020,Hacking/IT Incident,Email,Yes
The Waldorf Center ,OR,Healthcare Provider,608,6/15/2020,Hacking/IT Incident,Email,No
Legacy Community Health Services,TX,Healthcare Provider,19000,6/15/2020,Hacking/IT Incident,Email,No
"Magellan Complete Care of Virginia, LLC",MD,Health Plan,3568,6/15/2020,Hacking/IT Incident,"Email, Network Server",No
Cano Health,FL,Healthcare Provider,28268,6/12/2020,Hacking/IT Incident,Email,No
UF Health Jacksonville,FL,Healthcare Provider,54002,6/12/2020,Hacking/IT Incident,Email,Yes
UF Health Shands,FL,Healthcare Provider,13146,6/12/2020,Hacking/IT Incident,Email,Yes
University of Florida,FL,Healthcare Provider,9182,6/12/2020,Hacking/IT Incident,Email,Yes
"Anil Mehta, MD, Inc.",CA,Healthcare Provider,846,6/12/2020,Theft,"Desktop Computer, Paper/Films",No
Healthcare Fiscal Management Inc.,NC,Business Associate,58000,6/12/2020,Hacking/IT Incident,Network Server,Yes
Integra Managed Care,NY,Health Plan,644,6/12/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
"Sunrise Treatment Center,LLC",OH,Healthcare Provider,3660,6/12/2020,Hacking/IT Incident,Email,No
Magellan Rx Pharmacy,MD,Healthcare Provider,33040,6/12/2020,Hacking/IT Incident,"Email, Network Server",No
Magellan Healthcare,MD,Business Associate,50410,6/12/2020,Hacking/IT Incident,"Email, Network Server",Yes
Magellan Complete Care of Florida,FL,Health Plan,76236,6/12/2020,Hacking/IT Incident,"Email, Network Server",No
Merit Health Insurance Company,IL,Health Plan,102748,6/12/2020,Hacking/IT Incident,"Email, Network Server",No
National Imaging Associates,MD,Business Associate,22560,6/12/2020,Hacking/IT Incident,"Email, Network Server",Yes
Magellan Rx Management,AZ,Business Associate,314704,6/12/2020,Hacking/IT Incident,"Email, Network Server",Yes
Magellan Health Inc.,AZ,Health Plan,1013956,6/12/2020,Hacking/IT Incident,Email,No
"Axis Neuromonitoring, Inc., d/b/a Apex IONM Solutions",TX,Business Associate,1876,6/11/2020,Hacking/IT Incident,Email,Yes
University of Missouri Health Care,MO,Healthcare Provider,5074,6/11/2020,Hacking/IT Incident,Email,No
Rangely District Hospital,CO,Healthcare Provider,6339,6/8/2020,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
University of Utah,UT,Healthcare Provider,1909,6/8/2020,Hacking/IT Incident,Email,No
Danube River Holdings LLC dba RiverPointe Post Acute,CA,Healthcare Provider,633,6/7/2020,Loss,Other Portable Electronic Device,No
Yale New Haven Health Services,CT,Healthcare Provider,506,6/5/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
Kentuckiana Regional Planning and Development Agency,KY,Healthcare Provider,3663,6/5/2020,Hacking/IT Incident,"Desktop Computer, Email",No
"Andrew Dang, DDS",CA,Healthcare Provider,974,6/4/2020,Theft,Desktop Computer,No
"JDA eHealth Systems, Inc.",IL,Business Associate,917,6/2/2020,Unauthorized Access/Disclosure,"Other, Paper/Films",Yes
"Allergy & Asthma Medical Group of the Bay Area, Inc.",CA,Healthcare Provider,1894,6/2/2020,Theft,Laptop,No
City of Philadelphia,PA,Health Plan,233543,6/1/2020,Hacking/IT Incident,Email,No
Rochester Regional Health,NY,Healthcare Provider,1945,6/1/2020,Hacking/IT Incident,Email,No
HEALTHY CONNECTIONS INC,AR,Healthcare Provider,3565,6/1/2020,Unauthorized Access/Disclosure,Email,No
Sanitas Dental Management,FL,Healthcare Provider,1310,5/29/2020,Loss,Network Server,No
"Hanger Prosthetics & Orthotics, Inc. d/b/a Hanger Clinic",TX,Healthcare Provider,6033,5/29/2020,Unauthorized Access/Disclosure,Paper/Films,No
Ridgeview Institute - Monroe,GA,Healthcare Provider,1853,5/29/2020,Unauthorized Access/Disclosure,"Email, Paper/Films",No
Catholic Charities Diocese of San Diego,CA,Business Associate,36205,5/29/2020,Hacking/IT Incident,Network Server,Yes
"Michiana Hematology Oncology, PC",IN,Healthcare Provider,500,5/29/2020,Improper Disposal,Paper/Films,Yes
"South Bend Medical Foundation, Inc.",IN,Healthcare Provider,500,5/28/2020,Improper Disposal,Paper/Films,Yes
"Beacon Health systems, Inc.",IN,Healthcare Provider,900,5/28/2020,Improper Disposal,Paper/Films,Yes
"Allied Physicians of Michiana, LLC",IN,Healthcare Provider,976,5/28/2020,Improper Disposal,Paper/Films,Yes
"Saint Joseph Regional Medical Center, Inc.",IN,Healthcare Provider,1000,5/28/2020,Improper Disposal,Paper/Films,Yes
"New Avenues, Inc.",IN,Healthcare Provider,1000,5/28/2020,Improper Disposal,Paper/Films,Yes
"Elkhart Emergency Physicians, Inc .",IN,Healthcare Provider,550000,5/28/2020,Improper Disposal,Paper/Films,Yes
Renee Applebaum Phd Pc,MI,Healthcare Provider,3800,5/24/2020,Hacking/IT Incident,Network Server,Yes
"Mediclaim, LLC",MI,Business Associate,14931,5/22/2020,Hacking/IT Incident,Network Server,Yes
Kaiser Foundation Health Plan of the Mid-Atlantic States,MD,Health Plan,2756,5/22/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
Everett & Hurite Ophthalmic Association,PA,Healthcare Provider,34113,5/22/2020,Hacking/IT Incident,Email,No
Woodlawn Dental Center,OH,Healthcare Provider,14419,5/18/2020,Hacking/IT Incident,Network Server,No
Geisinger Wyoming Valley Medical Center,PA,Healthcare Provider,805,5/18/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
"PsyGenics, Inc.",MI,Business Associate,608,5/18/2020,Unauthorized Access/Disclosure,Email,Yes
"Mat-Su Surgical Associates, APC",AK,Healthcare Provider,13146,5/15/2020,Hacking/IT Incident,Network Server,No
Infor-Med Medical Information Systems Inc.,CA,Business Associate,3728,5/13/2020,Unauthorized Access/Disclosure,Email,Yes
"Alexander Chun, MD, PLLC",NY,Healthcare Provider,595,5/12/2020,Improper Disposal,Paper/Films,No
Mille Lacs Health System,MN,Healthcare Provider,10630,5/11/2020,Hacking/IT Incident,Email,No
District Medical Group,AZ,Healthcare Provider,10190,5/8/2020,Hacking/IT Incident,Email,No
Santa Rosa & Rohnert Park Oral Surgery,CA,Healthcare Provider,5357,5/8/2020,Unauthorized Access/Disclosure,Email,No
Ashtabula County Medical Center,OH,Healthcare Provider,3683,5/8/2020,Hacking/IT Incident,Network Server,No
Moorestown Visiting Nurse Association,NJ,Healthcare Provider,26465,5/7/2020,Hacking/IT Incident,Network Server,No
"Midmark RTLS Solutions, Inc.",MI,Business Associate,7422,5/5/2020,Hacking/IT Incident,Other,Yes
The Nebraska Medical Center,NE,Healthcare Provider,1311,5/5/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
BJC Health System,MO,Business Associate,287876,5/5/2020,Hacking/IT Incident,Email,Yes
"Management and Network Services, LLC",OH,Business Associate,30132,5/4/2020,Hacking/IT Incident,Email,Yes
Ann & Robert H. Lurie Children's Hospital of Chicago,IL,Healthcare Provider,4824,5/4/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
Saint Francis Healthcare Partners,CT,Business Associate,38529,5/4/2020,Hacking/IT Incident,Email,Yes
Lisa Burkett DDS MS,TX,Healthcare Provider,818,4/30/2020,Unauthorized Access/Disclosure,Email,No
Stamford Health,CT,Healthcare Provider,1255,4/30/2020,Unauthorized Access/Disclosure,Email,No
Shands Lake Shore Regional Medical Center,FL,Healthcare Provider,651,4/27/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
Tennova Healthcare Harton,TN,Healthcare Provider,1070,4/27/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
Bayfront Health Port Charlotte,FL,Healthcare Provider,1162,4/27/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
Poplar Bluff Regional Medical Center,MO,Healthcare Provider,1619,4/27/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
Wilkes-Barre General Hospital,PA,Healthcare Provider,518,4/27/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
Moses Taylor Hospital,PA,Healthcare Provider,1905,4/27/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
Meridian Health Services Corp.,IN,Healthcare Provider,111372,4/27/2020,Hacking/IT Incident,Email,No
City of Detroit Health Department,MI,Healthcare Provider,1981,4/27/2020,Unauthorized Access/Disclosure,Network Server,No
Customized Computer Software,TX,Business Associate,500,4/26/2020,Hacking/IT Incident,Laptop,Yes
Daniel Bendetowicz MD PA,FL,Healthcare Provider,3314,4/24/2020,Hacking/IT Incident,Network Server,No
United Cerebral Palsy Heartland,MO,Healthcare Provider,518,4/24/2020,Hacking/IT Incident,Email,No
Ascension Eastwood Clinics ,MI,Healthcare Provider,999,4/23/2020,Unauthorized Access/Disclosure,Email,No
Agility Center Orthopedics,AR,Healthcare Provider,13968,4/22/2020,Hacking/IT Incident,Email,No
"Psychiatric Associates of North Carolina, Professional Association",NC,Healthcare Provider,1081,4/20/2020,Unauthorized Access/Disclosure,Email,No
Hebrew Home of Greater Washington,MD,Healthcare Provider,5693,4/17/2020,Hacking/IT Incident,Email,No
Beaumont Health,MI,Healthcare Provider,112211,4/17/2020,Hacking/IT Incident,Email,No
Houston Methodist Hospital,TX,Healthcare Provider,1987,4/17/2020,Theft,Other Portable Electronic Device,No
"Good Samaritan Hospital, Inc.",CA,Healthcare Provider,233835,4/17/2020,Hacking/IT Incident,Email,No
John A. Grimaldi DO INC,CA,Healthcare Provider,911,4/16/2020,Unauthorized Access/Disclosure,"Electronic Medical Record, Laptop, Other",No
Advocate Aurora Health,WI,Healthcare Provider,27137,4/16/2020,Hacking/IT Incident,"Email, Network Server",No
Medica Insurance Company ,MN,Health Plan,802,4/15/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
Medica Health Plans,MN,Health Plan,1710,4/15/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
Hartford HealthCare,CT,Healthcare Provider,2651,4/13/2020,Hacking/IT Incident,Email,No
Doctors Community Medical Center,MD,Healthcare Provider,18481,4/13/2020,Hacking/IT Incident,Email,No
Saint Francis Ministries,KS,Healthcare Provider,3680,4/10/2020,Hacking/IT Incident,Email,No
Arizona Endocrinology Center,AZ,Healthcare Provider,74122,4/10/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
Corpus Christi Rehabilitation Hospital,TX,Healthcare Provider,507,4/10/2020,Hacking/IT Incident,Email,No
"Beacon Health Options, Inc.",MA,Business Associate,6723,4/10/2020,Loss,Other Portable Electronic Device,Yes
Rehabilitation Hospital of Southern New Mexico,NM,Healthcare Provider,1843,4/10/2020,Hacking/IT Incident,Email,No
UPMC Altoona Regional Health Services,PA,Healthcare Provider,13911,4/10/2020,Hacking/IT Incident,Email,No
"Brandywine Counseling & Community Services, Inc",DE,Healthcare Provider,11852,4/10/2020,Hacking/IT Incident,Network Server,No
EVERSANA,WI,Healthcare Provider,5000,4/7/2020,Hacking/IT Incident,Email,No
"Colorado Department of Human Services, Office of Behavioral Health",CO,Healthcare Provider,8132,4/7/2020,Unauthorized Access/Disclosure,Network Server,No
"Healthcare Resource Group, Inc.",WA,Business Associate,5387,4/7/2020,Hacking/IT Incident,Email,Yes
Andrews Braces,NV,Healthcare Provider,16622,4/7/2020,Hacking/IT Incident,Network Server,No
"Doctors HealthCare Plans, Inc. ",FL,Health Plan,500,4/7/2020,Hacking/IT Incident,Email,No
"New Jersey Urology, LLC",NJ,Healthcare Provider,3000,4/6/2020,Hacking/IT Incident,Email,No
"Child, Family and Community Services, Inc.",CA,Health Plan,1658,4/3/2020,Theft,"Laptop, Other Portable Electronic Device",No
University of Utah,UT,Healthcare Provider,5000,4/3/2020,Hacking/IT Incident,Email,No
"Confidio, LLC",MD,Business Associate,14016,3/31/2020,Hacking/IT Incident,Email,Yes
Washington University School of Medicine,MO,Healthcare Provider,14795,3/31/2020,Hacking/IT Incident,Email,No
Affordacare Urgent Care Clinics,TX,Healthcare Provider,57411,3/31/2020,Hacking/IT Incident,Network Server,No
University of Minnesota Physicians,MN,Healthcare Provider,683,3/30/2020,Hacking/IT Incident,Email,No
Mid-Delaware Imaging,DE,Healthcare Provider,77110,3/30/2020,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No
"Brandywine Urology Consultants, PA",DE,Healthcare Provider,131825,3/27/2020,Hacking/IT Incident,Network Server,No
"Crossroads Technologies, Inc.",PA,Business Associate,897,3/27/2020,Hacking/IT Incident,Network Server,Yes
"Tryon Medical Partners, PLLC",NC,Healthcare Provider,701,3/27/2020,Unauthorized Access/Disclosure,Email,No
Stockdale Radiology,CA,Healthcare Provider,10700,3/27/2020,Hacking/IT Incident,Desktop Computer,No
UHHS Samaritan Medical Center,OH,Healthcare Provider,903,3/26/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
"David S Daley, DMD",AZ,Healthcare Provider,1000,3/26/2020,Theft,Network Server,No
New Jersey Department of Human Services,NJ,Health Plan,2300,3/25/2020,Hacking/IT Incident,Network Server,No
VA Sierra Nevada Health Care System,NV,Healthcare Provider,702,3/25/2020,Unauthorized Access/Disclosure,Paper/Films,No
"Renew Wellness Center, PLLC",MT,Healthcare Provider,730,3/23/2020,Theft,"Email, Other Portable Electronic Device",No
"FACKLER FAMILY CHIROPRACTIC, LLC",OH,Healthcare Provider,1731,3/23/2020,Theft,Paper/Films,No
Health Care Service Corporation,IL,Health Plan,574,3/23/2020,Unauthorized Access/Disclosure,Email,No
Ambry Genetics Corporation,CA,Healthcare Provider,232772,3/22/2020,Hacking/IT Incident,Email,No
University of Utah,UT,Healthcare Provider,3670,3/21/2020,Hacking/IT Incident,Email,No
Georgia Department of Human Services ,GA,Healthcare Clearing House,500,3/20/2020,Loss,Paper/Films,No
Golden Valley Health Centers,CA,Healthcare Provider,38628,3/20/2020,Hacking/IT Incident,Email,No
Otis R. Bowen Center for Human Services,IN,Healthcare Provider,35804,3/20/2020,Hacking/IT Incident,Email,No
Virginia Department of Behavioral Health and Developmental Services,VA,Healthcare Provider,657,3/20/2020,Unauthorized Access/Disclosure,Email,No
Hawaii Pacific Health,HI,Business Associate,836,3/19/2020,Loss,Paper/Films,Yes
"NeoGenomics Laboratories, Inc.",FL,Healthcare Provider,910,3/18/2020,Unauthorized Access/Disclosure,Email,No
Hawaii Pacific Health,HI,Business Associate,3772,3/17/2020,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"Augusta Foot & Ankle, P.C.",GA,Healthcare Provider,4854,3/17/2020,Hacking/IT Incident,Network Server,No
Lifesprk,MN,Healthcare Provider,9000,3/17/2020,Hacking/IT Incident,Email,No
"Tandem Diabetes Care, Inc.",CA,Healthcare Provider,140781,3/17/2020,Hacking/IT Incident,Email,No
Lakewood Health System,MN,Healthcare Provider,1415,3/16/2020,Hacking/IT Incident,Email,No
Hao Rong DDS Inc dba Genuine Care Dental,CA,Healthcare Provider,2190,3/14/2020,Theft,Network Server,No
Randleman Eye Center,NC,Healthcare Provider,19556,3/13/2020,Hacking/IT Incident,Network Server,No
"Allegheny County, PA",PA,Health Plan,3394,3/13/2020,Unauthorized Access/Disclosure,Network Server,No
TriHealth Cancer Institute,OH,Healthcare Provider,912,3/13/2020,Unauthorized Access/Disclosure,Paper/Films,No
"Foundation Medicine, Inc.",MA,Healthcare Provider,2999,3/13/2020,Hacking/IT Incident,Email,No
North Texas Institute of Neurology and Headache,TX,Healthcare Provider,500,3/13/2020,Theft,Laptop,Yes
Northeast Radiology,NY,Healthcare Provider,298532,3/11/2020,Hacking/IT Incident,Network Server,Yes
The Prudential Insurance Company of America,NJ,Health Plan,1945,3/11/2020,Hacking/IT Incident,Network Server,Yes
OneDigital Health and Benefits,GA,Business Associate,22894,3/6/2020,Theft,Laptop,Yes
Conagra Brands Welfare Benefit Wrap Plan,IL,Health Plan,1713,3/6/2020,Unauthorized Access/Disclosure,Paper/Films,No
Torrance Memorial Medical Center,CA,Healthcare Provider,3498,3/6/2020,Hacking/IT Incident,Network Server,No
Stephan C Dean,CA,Business Associate,70000,3/4/2020,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email",Yes
Elk Ridge Dentistry,CO,Healthcare Provider,2793,3/2/2020,Theft,Other Portable Electronic Device,No
Alameda Alliance for Health,CA,Health Plan,500,2/28/2020,Hacking/IT Incident,Network Server,No
Walgreen Co. ,IL,Healthcare Provider,6681,2/28/2020,Unauthorized Access/Disclosure,Network Server,No
"Ozark Orthopaedics, PA",AR,Healthcare Provider,15240,2/28/2020,Hacking/IT Incident,Email,No
Riverview Health,IN,Healthcare Provider,2610,2/28/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
"Vail Clinic, Inc. dba Vail Health Hospital ",CO,Healthcare Provider,710,2/27/2020,Unauthorized Access/Disclosure,Network Server,No
Fairfield Anesthesia Associates LLC,CT,Healthcare Provider,800,2/27/2020,Unauthorized Access/Disclosure,Desktop Computer,No
Harris County Hospital District d/b/a Harris Health System ,TX,Healthcare Provider,2298,2/27/2020,Loss,Paper/Films,No
"Interactive Medical Systems, Corp.",NC,Business Associate,15010,2/27/2020,Hacking/IT Incident,Email,Yes
Munson Healthcare,MI,Healthcare Provider,75202,2/26/2020,Hacking/IT Incident,Email,No
AFTRA Retirement Fund,NY,Business Associate,57900,2/25/2020,Hacking/IT Incident,Network Server,Yes
Engage Behavioral Health,FL,Healthcare Provider,650,2/24/2020,Hacking/IT Incident,Email,No
"Government Employees Health Association, Inc.",MO,Health Plan,696,2/22/2020,Unauthorized Access/Disclosure,Paper/Films,No
Rady Children's Hospital San Diego,CA,Healthcare Provider,2360,2/21/2020,Unauthorized Access/Disclosure,Network Server,No
"Rainbow Hospice Care, Inc.",WI,Healthcare Provider,2029,2/21/2020,Hacking/IT Incident,Email,No
The Queen’s Health Systems Affiliated Covered Entity,HI,Healthcare Provider,2852,2/20/2020,Unauthorized Access/Disclosure,Email,No
"Endeavor Energy Resources, L.P. ",TX,Health Plan,5103,2/20/2020,Hacking/IT Incident,Email,No
Lake County Health Department,IL,Healthcare Provider,14488,2/19/2020,Unauthorized Access/Disclosure,Email,No
"SOLO Laboratories, Inc.",PA,Business Associate,60000,2/18/2020,Hacking/IT Incident,Network Server,Yes
East House Corporation,NY,Healthcare Provider,1306,2/17/2020,Hacking/IT Incident,Email,No
"NCH Healthcare System, Inc. ",FL,Healthcare Provider,63581,2/17/2020,Hacking/IT Incident,Email,No
"Armada Physical Therapy of Albuquerque, LLC",NM,Healthcare Provider,1850,2/17/2020,Theft,Desktop Computer,No
Monroe County Hospital & Clinics,IA,Healthcare Provider,8487,2/17/2020,Hacking/IT Incident,Email,No
"BST & Co. CPAs, LLP",NY,Business Associate,170000,2/16/2020,Hacking/IT Incident,Network Server,Yes
"Avalon Health Care Management, Inc.",UT,Business Associate,2717,2/14/2020,Hacking/IT Incident,Email,Yes
United Regional Health Care System,TX,Healthcare Provider,1893,2/14/2020,Hacking/IT Incident,Email,No
Aveanna Healthcare,GA,Healthcare Provider,166077,2/14/2020,Hacking/IT Incident,Email,No
James F. Collette DDS & David N. Hamilton DDS PLLC,WA,Healthcare Provider,544,2/14/2020,Hacking/IT Incident,Email,No
Tennessee Orthopaedic Alliance ,TN,Healthcare Provider,81146,2/14/2020,Hacking/IT Incident,Email,No
Peregrine Corporation d/b/a PSL Services,ME,Healthcare Provider,2401,2/14/2020,Hacking/IT Incident,Email,No
"Audiology Services Company USA, LLC",FL,Healthcare Provider,3917,2/13/2020,Hacking/IT Incident,Email,No
Capital Vision Services d/b/a MyEyeDr. (MED Southwest PLLC),VA,Healthcare Provider,7983,2/13/2020,Improper Disposal,Paper/Films,No
Walmart Inc.,AR,Healthcare Provider,3606,2/12/2020,Loss,Paper/Films,No
SAMA HealthCare Services,AR,Healthcare Provider,7524,2/12/2020,Improper Disposal,Paper/Films,Yes
"Lakewood Resource and Referral Center dba Center for Health Education, Medicine and Dentistry",NJ,Healthcare Provider,12414,2/12/2020,Hacking/IT Incident,Network Server,No
"Relation Insurance, Inc., d/b/a Relation Insurance Services of Georgia ",GA,Business Associate,4335,2/11/2020,Hacking/IT Incident,Email,Yes
Mercy Health Physician Partners,MI,Healthcare Provider,2487,2/10/2020,Unauthorized Access/Disclosure,Paper/Films,No
"VibrantCare Rehabilitation, Inc.",CA,Healthcare Provider,1655,2/8/2020,Hacking/IT Incident,Email,No
Overlake Medical Center & Clinics,WA,Healthcare Provider,109234,2/7/2020,Hacking/IT Incident,Email,No
Shields Health Solutions,MA,Business Associate,39762,2/7/2020,Hacking/IT Incident,Email,Yes
JDC Healthcare Management,TX,Healthcare Provider,45748,2/7/2020,Hacking/IT Incident,Email,No
Lincoln National Life Insurance Company and its affiliate Lincoln Life & Annuity Company of New York,IN,Health Plan,2468,2/7/2020,Hacking/IT Incident,Email,No
"Vision Care Specialists, P.C. a part of MyEyeDr. Optometry of Colorado, PC",VA,Healthcare Provider,1070,2/7/2020,Hacking/IT Incident,Network Server,No
"Kaiser Health Plan, Southern California",CA,Health Plan,167095,2/6/2020,Unauthorized Access/Disclosure,Paper/Films,No
Health Share of Oregon,OR,Health Plan,654362,2/5/2020,Theft,Laptop,Yes
UnitedHealth Group Health Plan Single Affiliated Covered Entity,MN,Health Plan,3335,2/4/2020,Hacking/IT Incident,Network Server,Yes
Arizona Pain and Spine Institute,AZ,Healthcare Provider,530,2/3/2020,Theft,Laptop,No
Iredell-Statesville Schools Board of Eduction,NC,Health Plan,959,2/3/2020,Hacking/IT Incident,Email,Yes
Original Medicare,MD,Health Plan,9965,1/31/2020,Unauthorized Access/Disclosure,Network Server,No
MHMR of Tarrant County,TX,Healthcare Provider,6524,1/31/2020,Hacking/IT Incident,Email,No
Hospital Sisters Health System,IL,Healthcare Provider,16167,1/31/2020,Hacking/IT Incident,Email,No
Lake County Behavioral Health Services,CA,Healthcare Provider,1178,1/31/2020,Theft,Paper/Films,No
Virginia Department of Medical Assistance Services,VA,Health Plan,6120,1/31/2020,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes
Robert S. Smith MD Inc DBA Boston Scientific Pathology,GA,Healthcare Provider,6940,1/31/2020,Unauthorized Access/Disclosure,Paper/Films,No
Jefferson Center for Mental Health,CO,Healthcare Provider,1319,1/30/2020,Theft,Paper/Films,No
"Personal Touch Home Care of VA, Inc.",VA,Healthcare Provider,33324,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Care of W. VA, Inc.",WV,Healthcare Provider,1169,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Hospice of VA, Inc.",VA,Healthcare Provider,1657,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Care of Mass., Inc.",NY,Healthcare Provider,2015,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Services of San Antonio, Inc.",TX,Healthcare Provider,5930,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home-Aides, Inc.",NY,Healthcare Provider,2633,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Services of Dallas, Inc.",TX,Healthcare Provider,1700,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Care of S.E. Mass., Inc.",NY,Healthcare Provider,2863,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
Personal Touch Home Aides Inc.,NY,Healthcare Provider,1890,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Care of PA, Inc.",NY,Healthcare Provider,9302,1/28/2020,Hacking/IT Incident,Network Server,Yes
"Personal Touch Home Care of Ohio, Inc.",NY,Healthcare Provider,15808,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Care of Greater Portsmouth, Inc.",NY,Healthcare Provider,1957,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Aides of Baltimore, Inc.",NY,Healthcare Provider,804,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Care of Baltimore, Inc.",NY,Healthcare Provider,9058,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Care of KY, Inc.",KY,Healthcare Provider,24013,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Central Kansas Orthopedic Group, LLC",KS,Healthcare Provider,17214,1/28/2020,Hacking/IT Incident,Network Server,No
"Personal Touch Home Care of Indiana, Inc.",IN,Healthcare Provider,3593,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
"Personal Touch Home Aides of New York, Inc.",NY,Healthcare Provider,38693,1/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
Iowa Department of Human Services,IA,Health Plan,4501,1/27/2020,Improper Disposal,Paper/Films,No
Beaumont Health,MI,Healthcare Provider,1182,1/24/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
Cedarbrook Senior Care and Rehabilitation / County of Lehigh,PA,Healthcare Provider,688,1/24/2020,Unauthorized Access/Disclosure,Email,No
Lafayette Regional Rehabilitation Hospital,IN,Healthcare Provider,1360,1/24/2020,Hacking/IT Incident,"Desktop Computer, Email, Other",No
Cook County Health,IL,Healthcare Provider,2713,1/24/2020,Unauthorized Access/Disclosure,Network Server,No
Village Senior Services Corporation d/b/a VillageCareMAX,NY,Health Plan,2645,1/24/2020,Hacking/IT Incident,Email,No
Village Center for Care d/b/a VillageCare Rehabilitative and Nursing Center,NY,Healthcare Provider,674,1/24/2020,Hacking/IT Incident,"Email, Other",No
